Age,Sex,Wing,Weight,Year
J,U,126,88,2008
J,U,124,87,2008
F,F,126,93,2008
A,M,130,99,2008
A,M,132,92,2009
J,U,123,106,2008
A,F,130,99,2008
A,F,131,98,2009
J,M,125,90,2008
J,U,125,85,2008
F,F,,97,2008
U,F,125,96,2009
A,F,,89,2013
J,U,124,94,2008
J,U,120,80,2008
J,F,127,101,2008
F,F,,98,2008
A,F,127,98,2011
J,F,121,95,2008
J,U,121,94,2008
J,F,121,98,2008
F,F,121,110,2009
F,F,119,114,2009
J,M,125,87,2008
J,M,125,90,2008
J,M,128,97,2008
F,M,128,93,2009
J,M,129,86,2008
J,M,125,96,2008
J,U,125,96,2008
J,U,129,102,2008
J,M,132,101,2008
J,M,127,95,2008
J,M,124,103,2008
J,U,125,103,2008
F,M,126,93,2008
F,M,131,96,2008
A,M,132,107,2008
F,M,128,117,2008
F,M,128,100,2008
F,M,127,85,2009
F,M,135,116,2008
A,M,135,115,2008
F,M,134,123,2008
A,M,136,130,2008
A,M,131,108,2008
A,F,129,121,2008
A,M,130,105,2008
F,M,129,105,2008
A,F,133,102,2008
A,M,135,116,2008
A,M,137,131,2008
A,M,137,130,2009
A,M,131,117,2008
A,M,135,123,2008
A,M,135,126,2008
A,M,135,122,2008
A,F,134,123,2008
A,F,135,119,2009
F,F,128,106,2008
A,M,133,117,2008
F,M,127,109,2008
A,F,129,124,2008
F,F,129,113,2009
F,F,129,114,2009
A,F,133,114,2009
F,M,130,124,2009
F,M,130,130,2009
U,M,132,100,2009
F,M,135,135,2009
F,F,123,122,2009
A,F,131,128,2009
A,M,136,122,2009
A,F,130,130,2009
A,F,132,105,2009
A,M,133,123,2009
F,F,132,118,2009
F,F,132,124,2009
F,F,130,108,2009
A,M,138,116,2009
A,F,135,137,2009
F,M,130,122,2009
F,M,130,117,2009
F,M,129,105,2009
F,M,130,98,2009
F,M,128,97,2009
A,M,131,105,2009
F,M,129,112,2009
F,M,128,109,2009
F,M,129,105,2009
F,M,129,102,2009
F,M,129,105,2009
F,M,128,106,2009
A,M,140,106,2009
A,F,132,119,2009
A,F,132,125,2009
A,M,130,122,2009
A,M,131,122,2009
A,M,131,113,2009
A,M,129,105,2009
A,F,131,113,2009
A,M,136,112,2009
F,F,129,118,2009
F,F,,122,2009
F,F,128,117,2009
A,F,131,130,2009
A,F,131,135,2010
A,F,131,123,2010
A,F,131,117,2010
A,F,130,119,2010
F,M,130,110,2009
F,M,130,117,2009
F,M,130,102,2009
F,F,126,105,2009
A,M,133,123,2009
A,M,133,121,2009
A,F,135,110,2009
A,F,133,134,2009
A,M,133,120,2009
A,M,135,109,2009
A,M,128,120,2009
F,F,127,118,2009
F,F,118,104,2009
F,M,127,108,2009
A,M,132,107,2009
A,M,134,102,2009
F,M,126,106,2009
F,M,126,104,2009
F,M,125,93,2009
F,M,125,92,2009
A,F,130,107,2009
A,M,135,119,2009
